Date,Open,High,Low,Volume,Close
9/9/1999,3.175,3.221875,3.11875,183664000,3.18125
9/10/1999,3.296875,3.4,3.24375,248418000,3.325
9/13/1999,3.28125,3.3,3.125,154952000,3.165625
9/14/1999,3.1375,3.321875,3.1375,175656000,3.3
9/15/1999,3.3875,3.396875,3.25,156346000,3.278125
9/16/1999,3.246875,3.290625,3.1375,141178000,3.2625
9/17/1999,3.28125,3.3,3.1375,144790000,3.190625
9/20/1999,3.184375,3.25,3.134375,119142000,3.1375
9/21/1999,3.08125,3.196875,3.05,164650000,3.1125
9/22/1999,3.14375,3.325,3.034375,200750000,3.3
9/23/1999,3.35,3.4375,3.061719,287472000,3.1125
9/24/1999,3.1,3.3,3.075,219450000,3.25
9/27/1999,3.309375,3.39375,3.09375,287662000,3.128125
9/28/1999,3.125,3.325,3.05625,315376000,3.29375
9/29/1999,3.325,4.25,3.2875,1587488000,4.0375
9/30/1999,3.990625,4.075,3.8125,620924000,3.996875
10/1/1999,3.85,3.9625,3.832813,208606000,3.8625
10/4/1999,3.971875,3.9875,3.7875,195148000,3.853125
10/5/1999,3.85625,3.9875,3.7375,328402000,3.921875
10/6/1999,3.978125,4.18125,3.975,310644000,4.121875
10/7/1999,4.28125,4.5,4.175,492188000,4.365625
10/8/1999,4.34375,4.475,4.221875,229174000,4.4625
10/11/1999,4.45625,4.46875,4.3375,133848000,4.41875
10/12/1999,4.384375,4.425,4.24375,144628000,4.246875
10/13/1999,4.125,4.25,3.978125,231236000,3.996875
10/14/1999,4.025,4.16875,3.921875,254260000,3.979688
10/15/1999,3.79375,3.853125,3.696875,243738000,3.753125
10/18/1999,3.753125,3.825,3.553125,215876000,3.703125
10/19/1999,3.88125,3.9125,3.78125,155600000,3.83125
10/20/1999,3.915625,4.03125,3.817188,154710000,4.025
10/21/1999,3.896875,4.140625,3.853125,179220000,4.0375
10/22/1999,4.071875,4.18125,3.9,146096000,3.93125
10/25/1999,3.95,4.15,3.896875,143618000,4.1375
10/26/1999,4.15625,4.215625,4.00625,154230000,4.0625
10/27/1999,3.96875,3.96875,3.740625,256704000,3.796875
10/28/1999,3.475,3.65625,3.29375,714528000,3.55
10/29/1999,3.6375,3.640625,3.4625,193776000,3.53125
11/1/1999,3.403125,3.59375,3.315625,256482000,3.45625
11/2/1999,3.4875,3.5,3.253125,264864000,3.321875
11/3/1999,3.409375,3.425,3.25,215442000,3.290625
11/4/1999,3.359375,3.39375,3.05,335184000,3.153125
11/5/1999,3.2375,3.275,3.1125,221828000,3.246875
11/8/1999,3.240625,4,3.175,646788000,3.9
11/9/1999,4.1,4.153125,3.5,529542000,3.540625
11/10/1999,3.578125,3.75,3.50625,230134000,3.6
11/11/1999,3.7375,3.83125,3.56875,185878000,3.65
11/12/1999,3.6875,3.75,3.540625,206392000,3.746875
11/15/1999,3.78125,3.8,3.665625,128744000,3.675
11/16/1999,3.7125,3.98125,3.6875,304774000,3.946875
11/17/1999,3.896875,4,3.771875,133148000,3.825
11/18/1999,3.8375,3.909375,3.7625,116208000,3.896875
11/19/1999,3.89375,3.90625,3.803125,115212000,3.896875
11/22/1999,3.89375,4.125,3.8,214168000,4.025
11/23/1999,4.01875,4.28125,3.8125,366650000,4.0875
11/24/1999,4.2125,4.3875,4.1625,289662000,4.3625
11/26/1999,4.553125,4.75625,4.53125,229920000,4.65625
11/29/1999,4.775,4.84375,4.50625,361074000,4.521875
11/30/1999,4.413281,4.44375,4.190625,269310000,4.253125
12/1/1999,4.3625,4.39375,4.098438,213272000,4.25
12/2/1999,4.3,4.565625,4.28125,190774000,4.453125
12/3/1999,4.625,4.66875,4.303125,223024000,4.328125
12/6/1999,4.34375,4.49375,4.234375,183984000,4.3875
12/7/1999,4.4,4.4,4.21875,134542000,4.303125
12/8/1999,4.340625,4.65,4.3,257344000,4.428125
12/9/1999,4.775,5.65,4.671875,827292000,5.18125
12/10/1999,5.596875,5.6,5.221875,298580000,5.334375
12/13/1999,5.33125,5.33125,5.075,173074000,5.125
12/14/1999,5.1875,5.2,4.678125,202158000,4.78125
12/15/1999,4.64375,4.971875,4.55,202670000,4.825
12/16/1999,4.9125,4.9375,4.675,140088000,4.74375
12/17/1999,4.859375,4.88125,4.690625,119118000,4.703125
12/20/1999,4.8875,5.1,4.753125,211332000,4.85
12/21/1999,4.828125,5.021875,4.775,190190000,4.99375
12/22/1999,5.028125,5.028125,4.775,118420000,4.884375
12/23/1999,4.9,4.95,4.453125,258292000,4.5
12/27/1999,4.3875,4.4125,4,330476000,4.05625
12/28/1999,4.153125,4.325,4.078125,206086000,4.115625
12/29/1999,4.171875,4.26875,4.13125,118260000,4.175
12/30/1999,4.23125,4.25625,3.925,185132000,3.953125
12/31/1999,3.965625,3.96875,3.8,145414000,3.80625
1/3/2000,4.075,4.478125,3.952344,322352000,4.46875
1/4/2000,4.26875,4.575,4.0875,349748000,4.096875
1/5/2000,3.525,3.75625,3.4,769148000,3.4875
1/6/2000,3.565625,3.634375,3.2,375040000,3.278125
1/7/2000,3.35,3.525,3.309375,210108000,3.478125
1/10/2000,3.628125,3.63125,3.278125,295158000,3.459375
1/11/2000,3.34375,3.5,3.25,210654000,3.3375
1/12/2000,3.39375,3.4,3.15,216090000,3.178125
1/13/2000,3.246875,3.359375,3.15625,208962000,3.296875
1/14/2000,3.3375,3.43125,3.2,137072000,3.2125
1/18/2000,3.171875,3.259375,3.15,107698000,3.20625
1/19/2000,3.20625,3.375,3.15,164910000,3.340625
1/20/2000,3.346875,3.35,3.196875,119560000,3.2375
1/21/2000,3.23125,3.23125,3,229238000,3.103125
1/24/2000,3.378125,3.66875,3.375,583404000,3.50625
1/25/2000,3.5,3.5625,3.3,188682000,3.4625
1/26/2000,3.43125,3.5,3.2375,131160000,3.240625
1/27/2000,3.259375,3.3875,3.23125,135680000,3.346875
1/28/2000,3.25,3.321875,3,275558000,3.084375
1/31/2000,3.01875,3.2375,2.921875,213958000,3.228125
2/1/2000,3.375,3.53125,3.21875,268092000,3.371875
2/2/2000,3.396875,3.6125,3.3875,280518000,3.471875
2/3/2000,4.05625,4.296875,3.86875,875000000,4.209375
2/4/2000,4.1375,4.1375,3.89375,220460000,3.928125
2/7/2000,3.809375,3.84375,3.65625,202580000,3.75
2/8/2000,3.7,4.2,3.671875,389456000,4.15625
2/9/2000,4.027344,4.186719,4.000781,191608000,4.0125
2/10/2000,3.925,3.99375,3.775,199592000,3.809375
2/11/2000,3.85625,3.95625,3.775,166180000,3.809375
2/14/2000,3.784375,3.7875,3.678125,103394000,3.721875
2/15/2000,3.671875,3.809375,3.53125,128490000,3.690625
2/16/2000,3.6375,3.671875,3.53125,85204000,3.534375
2/17/2000,3.5625,3.565625,3.4,122592000,3.45
2/18/2000,3.421875,3.45,3.19375,174528000,3.2375
2/22/2000,3.246875,3.325,3.153125,113716000,3.178125
2/23/2000,3.24375,3.5875,3.234375,168824000,3.521875
2/24/2000,3.528125,3.56875,3.28125,117386000,3.421875
2/25/2000,3.371875,3.46875,3.259375,97410000,3.45625
2/28/2000,3.328125,3.359375,3.20625,101154000,3.2875
2/29/2000,3.3,3.448438,3.29375,142970000,3.44375
3/1/2000,3.38125,3.425,3.25,111534000,3.29375
3/2/2000,3.246875,3.25,3.109375,159602000,3.128125
3/3/2000,3.1625,3.2375,3.103125,121190000,3.125
3/6/2000,3.14375,3.3625,3.140625,153316000,3.196875
3/7/2000,3.24375,3.290625,3.10625,83576000,3.175
3/8/2000,3.1625,3.2375,3.028125,118814000,3.18125
3/9/2000,3.15,3.45,3.109375,166250000,3.440625
3/10/2000,3.3625,3.426563,3.25,74270000,3.34375
3/13/2000,3.2,3.33125,3.15,112686000,3.265625
3/14/2000,3.303125,3.346875,3.16875,96106000,3.28125
3/15/2000,3.2375,3.25625,3.1,121654000,3.1875
3/16/2000,3.1125,3.31875,3,194062000,3.3125
3/17/2000,3.303125,3.31875,3.225,105970000,3.240625
3/20/2000,3.175,3.225,3.11875,116270000,3.209375
